Verb,IPA,regelmaßig,trennbar,ich.PS.I,du.PS.I,er/sie/es.PS.I,wir.PS.I,ihr.PS.I,sie/Sie.PS.I,ich.PS.K,du.PS.K,er/sie/es.PS.K,wir.PS.K,ihr.PS.K,sie/Sie.PS.K,ich.PT.I,du.PT.I,er/sie/es.PT.I,wir.PT.I,ihr.PT.I,sie/Sie.PT.I,ich.PT.K,du.PT.K,er/sie/es.PT.K,wir.PT.K,ihr.PT.K,sie/Sie.PT.K,Perfekt,Hilfsverb,Herkunft,Typs
treffen,ˈtʁɛfn̩,False,Not,treffe,tr[i]ffst,tr[i]fft,treffen,trefft,treffen,ICH,DU,ERSIEES,WIR,IHR,SIE,tr[af],tr[af]st,tr[af],tr[af]en,tr[af]t,tr[af]en,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,*,TYPS
vereinen,fɛɐ̯ˈʔaɪ̯nən,True,False,vereine,vereinst,vereint,vereinen,vereint,vereinen,ICH,DU,ERSIEES,WIR,IHR,SIE,vereinte,vereintest,vereinte,vereinten,vereintet,vereinten,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,Ableitung.ver-,TYPS
einen,ˈaɪ̯nən,True,Not,eine,einst,eint,einen,eint,einen,ICH,DU,ERSIEES,WIR,IHR,SIE,einte,eintest,einte,einten,eintet,einten,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,Ableitung.Konversion,TYPS
raten,ˈʁaːtn̩,False,Not,rate,r[ä]tst,r[ä]t,raten,ratet,raten,ICH,DU,ERSIEES,WIR,IHR,SIE,r[ie]t,r[ie]test,r[ie]t,r[ie]ten,r[ie]tet,r[ie]ten,ICH,DU,ERSIEES,WIR,IHR,SIE,geraten,haben,de,transitiv:intransitiv
abheben,ˈapˌheːbn̩,False,True,hebe ab,hebst ab,hebt ab,heben ab,hebt ab,heben ab,ICH,DU,ERSIEES,WIR,IHR,SIE,h[o]b/h[u]b ab,h[o]bst/h[u]bst ab,h[o]b/h[u]b ab,h[o]ben/h[u]ben ab,h[o]bt/h[u]bt ab,h[o]ben/h[u]ben ab,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,Ableitung.ab-,TYPS
heben,ˈheːbn̩,False,Not,hebe,hebst,hebt,heben,hebt,heben,ICH,DU,ERSIEES,WIR,IHR,SIE,h[o]b/h[u]b,h[o]bst/h[u]bst,h[o]b/h[u]b,h[o]ben/h[u]ben,h[o]bt/h[u]bt,h[o]ben/h[u]ben,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,de,TYPS
handeln,ˈhandl̩n,True,Not,handle/handel/handele,handelst,handelt,handeln,handelt,handeln,ICH,DU,ERSIEES,WIR,IHR,SIE,handelte,handeltest,handelte,handelten,handeltet,handelten,ICH,DU,ERSIEES,WIR,IHR,SIE,gehandelt,haben,de,transitiv
begrüßen,bəˈɡʁyːsn̩,True,False,begrüße,begrüßt,begrüßt,begrüßen,begrüßt,begrüßen,ICH,DU,ERSIEES,WIR,IHR,SIE,begrüßte,begrüßtest,begrüßte,begrüßten,begrüßtet,begrüßten,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,Ableitung.be-,TYPS
grüßen,ˈɡʁyːsn̩,True,Not,grüße,grüßt,grüßt,grüßen,grüßt,grüßen,ICH,DU,ERSIEES,WIR,IHR,SIE,grüßte,grüßtest,grüßte,grüßten,grüßtet,grüßten,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,de,TYPS
einrichten,ˈaɪ̯nˌʁɪçtn̩,True,True,richte ein,richtest ein,richtet ein,richten ein,richtet ein,richten ein,ICH,DU,ERSIEES,WIR,IHR,SIE,richtete ein,richtetest ein,richtete ein,richteten ein,richtetet ein,richteten ein,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,Ableitung.ein-,TYPS
richten,ˈʁɪçtn̩,True,Not,richte,richtest,richtet,richten,richtet,richten,ICH,DU,ERSIEES,WIR,IHR,SIE,richtete,richtetest,richtete,richteten,richtetet,richteten,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,de,TYPS
haushalten,ˈhaʊ̯sˌhaltn̩,True,Not,haushalte,haushaltest,haushaltet,haushalten,haushaltet,haushalten,ICH,DU,ERSIEES,WIR,IHR,SIE,haushaltete,haushaltetest,haushaltete,haushalteten,haushaltetet,haushalteten,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,de,TYPS
verhalten,fɛɐ̯ˈhaltn̩,False,False,verhalte,verh[ä]ltst,verh[ä]lt,verhalten,verhaltet,verhalten,ICH,DU,ERSIEES,WIR,IHR,SIE,verh[ie]lt,verh[ie]ltest,verh[ie]lt,verh[ie]lten,verh[ie]ltet,verh[ie]lten,ICH,DU,ERSIEES,WIR,IHR,SIE,verhalten,haben,Ableitung.ver-,transitiv:gehoben:reflexiv
halten,ˈhaltn̩,False,Not,halte,h[ä]ltst,h[ä]lt,halten,haltet,halten,ICH,DU,ERSIEES,WIR,IHR,SIE,h[ie]lt,h[ie]ltest,h[ie]lt,h[ie]lten,h[ie]ltet,h[ie]lten,ICH,DU,ERSIEES,WIR,IHR,SIE,gehalten,haben,de,TYPS
bezeichnen,bəˈt͡saɪ̯çnən,True,False,bezeichne,bezeichnest,bezeichnet,bezeichnen,bezeichnet,bezeichnen,ICH,DU,ERSIEES,WIR,IHR,SIE,bezeichnete,bezeichnetest,bezeichnete,bezeichneten,bezeichnetet,bezeichneten,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,Ableitung.be-,TYPS
zeichnen,ˈt͡saɪ̯çnən,True,Not,zeichne,zeichnest,zeichnet,zeichnen,zeichnet,zeichnen,ICH,DU,ERSIEES,WIR,IHR,SIE,zeichnete,zeichnetest,zeichnete,zeichneten,zeichnetet,zeichneten,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,Ableitung.Denominativ:Ableitung.Konversion,TYPS
frühstücken,ˈfʁyːˌʃtʏkn̩,True,False,frühstücke,frühstückst,frühstückt,frühstücken,frühstückt,frühstücken,ICH,DU,ERSIEES,WIR,IHR,SIE,frühstückte,frühstücktest,frühstückte,frühstückten,frühstücktet,frühstücken,ICH,DU,ERSIEES,WIR,IHR,SIE,gefrühstückt,haben,Ableitung.-en:Ableitung.Konversion.Verbalisierung,TYPS
prüfen,ˈpʁyːfn̩,True,Not,prüfe,prüfst,prüft,prüfen,prüft,prüfen,ICH,DU,ERSIEES,WIR,IHR,SIE,prüfte,prüftest,prüfte,prüften,prüftet,prüften,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,de,TYPS
nachfahren,,TYPS
zugehen,,TYPS
telefonieren,teləfoˈniːʁən,True,Not,telefoniere,telefonierst,telefoniert,telefonieren,telefoniert,telefonieren,ICH,DU,ERSIEES,WIR,IHR,SIE,telefonierte,telefoniertest,telefonierte,telefonierten,telefoniertet,telefonierten,ICH,DU,ERSIEES,WIR,IHR,SIE,telefoniert,haben,Ableitung.-ier:Ableitung.Konversion,TYPS
beginnen,bəˈɡɪnən,False,Not,beginne,beginnst,beginnt,beginnen,beginnt,beginnen,ICH,DU,ERSIEES,WIR,IHR,SIE,beg[a]nn,beg[a]nnst,beg[a]nn,beg[a]nnen,beg[a]nnt,beg[a]nnen,ICH,DU,ERSIEES,WIR,IHR,SIE,beg[o]nnen,haben,de,transitiv:intransitiv
dauern,ˈdaʊ̯ɐn,True,Not,dauere,dauerst,dauert,dauern,dauert,dauern,SIE,ICH,DU,ERSIEES,WIR,IHR,dauerte,dauertest,dauerte,dauerten,dauertet,dauerten,ICH,DU,ERSIEES,WIR,IHR,SIE,gedauert,haben,Lehnwort.la,TYPS
unternehmen,ˌʊntɐˈneːmən,False,False,unternehme,untern[im]mst,untern[im]mt,unternehmen,unternehmt,unternehmen,,,,,,,,,,,,,,,,,,,untern[om]men,haben,Komposita.kein,transitiv
können,ˈkœnən,False,Not,k[a]nn,k[a]nnst,k[a]nn,können,könnt,können,ICH,DU,ERSIEES,WIR,IHR,SIE,k[o]nnte,k[o]nntest,k[o]nnte,k[o]nnten,k[o]nntet,k[o]nnten,ICH,DU,ERSIEES,WIR,IHR,SIE,können,haben,de,Modalverb:transitiv
ablaufen,ˈapˌlaʊ̯fn̩,False,True,laufe ab,l[äu]fst ab,l[äu]ft ab,laufen ab,lauft ab,laufen ab,ICH,DU,ERSIEES,WIR,IHR,SIE,l[ie]f ab,l[ie]fst ab,l[ie]f ab,l[ie]fen ab,l[ie]ft ab,l[ie]fen ab,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,Ableitung.ab-,TYPS
laufen,ˈlaʊ̯fn̩,False,Not,laufe,l[äu]fst,l[äu]ft,laufen,lauft,laufen,ICH,DU,ERSIEES,WIR,IHR,SIE,l[ie]f,l[ie]fst,l[ie]f,l[ie]fen,l[ie]ft,l[ie]fen,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,*,TYPS
stehen,ˈʃteːən,False,Not,stehe,stehst,steht,stehen,steht,stehen,ICH,DU,ERSIEES,WIR,IHR,SIE,st[and],st[and]est,st[and],st[and]en,st[and]et,st[and]en,ICH,DU,ERSIEES,WIR,IHR,SIE,best[and]en,haben,Ableitung.be-,transitiv:gehoben
aufstehen,ˈaʊ̯fˌʃteːən,False,True,stehe auf,stehst auf,steht auf,stehen auf,steht auf,stehen auf,ICH,DU,ERSIEES,WIR,IHR,SIE,st[and] auf,st[and]est auf,st[and] auf,st[and]en auf,st[and]et auf,st[and]en auf,ICH,DU,ERSIEES,WIR,IHR,SIE,aufgest[and]en,sein/haben,Ableitung.ver-,TYPS
analysieren,analyˈziːʁən,True,Not,anallysiere,anallysierst,anallysiert,anallysieren,anallysiert,anallysieren,ICH,DU,ERSIEES,WIR,IHR,SIE,anallysierte,anallysiertest,anallysierte,anallysierten,anallysiertet,anallysierten,ICH,DU,ERSIEES,WIR,IHR,SIE,analysiert,haben,Ableitung.Konversion,TYPS
fangen,ˈfaŋən,False,Not,fange,f[ä]ngst,f[ä]ngt,fangen,fangt,fangen,ICH,DU,ERSIEES,WIR,IHR,SIE,f[i]ng,f[i]ngst,f[i]ng,f[i]ngen,f[i]ngt,f[i]ngen,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,de,TYPS
anfangen,ˈanˌfaŋən,False,True,fange an,f[ä]ngst an,f[ä]ngt an,fangen an,fangt an,fangen an,ICH,DU,ERSIEES,WIR,IHR,SIE,f[i]ng an,f[i]ngst an,f[i]ng an,f[i]ngen an,f[i]ngt an,f[i]ngen an,ICH,DU,ERSIEES,WIR,IHR,SIE,angefangen,haben,Ableitung.an-,TYPS
rufen,ˈʁuːfn̩,False,Not,rufe,rufst,ruft,rufen,ruft,rufen,ICH,DU,ERSIEES,WIR,IHR,SIE,r[ie]f,r[ie]fst,r[ie]f,r[ie]fen,r[ie]ft,r[ie]fen,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,de,TYPS
anrufen,ˈanˌʁuːfn̩,False,True,rufe an,rufst an,ruft an,rufen an,ruft an,rufen an,ICH,DU,ERSIEES,WIR,IHR,SIE,r[ie]f an,r[ie]fst an,r[ie]f an,r[ie]fen an,r[ie]ft an,r[ie]fen an,ICH,DU,ERSIEES,WIR,IHR,SIE,angerufen,haben,Ableitung.an-,TYPS
einkaufen,ˈaɪ̯nˌkaʊ̯fn̩,True,True,kaufe ein,kaufst ein,kauft ein,kaufen ein,kauft ein,kaufen ein,ICH,DU,ERSIEES,WIR,IHR,SIE,kaufte ein,kauftest ein,kaufte ein,kauften ein,kauftet ein,kauften ein,ICH,DU,ERSIEES,WIR,IHR,SIE,eingekauft,haben,Ableitung.ein-,TYPS
vorlesen,ˈfoːɐ̯ˌleːzn̩,False,True,lese vor,l[ie]st vor,l[ie]st vor,lesen vor,lest vor,lesen vor,ICH,DU,ERSIEES,WIR,IHR,SIE,l[a] vor,l[a]sest/l[a]st vor,l[a]s vor,l[a]sen vor,l[a]st vor,l[a]sen vor,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,de,TYPS
sitzen,ˈzɪt͡sn̩,False,Not,sitze,sitzt,sitzt,sitzen,sitzt,sitzen,ICH,DU,ERSIEES,WIR,IHR,SIE,s[aß],s[aß]est,s[aß],s[aß]en,s[aß]et,s[aß]en,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,de,TYPS
ausgehen,ˈfoːɐ̯ˌleːzn̩,False,True,gehe aus,gehst aus,geht aus,gehen aus,geht aus,gehen aus,ICH,DU,ERSIEES,WIR,IHR,SIE,g[ing] aus,g[ing]st aus,g[ing] aus,g[ing]en aus,g[ing]t aus,g[ing]en aus,ICH,DU,ERSIEES,WIR,IHR,SIE,ausgeg[ang]en,sein,Ableitung.aus-,TYPS
fernsehen,ˈfɛʁnˌzeːən,False,True,sehe fern,s[ie]hst fern,s[ie]ht fern,sehen fern,seht fern,sehen fern,ICH,DU,ERSIEES,WIR,IHR,SIE,s[a]h fern,s[a]hst fern,s[a]h fern,s[a]hen fern,s[a]ht fern,s[a]hen fern,ICH,DU,ERSIEES,WIR,IHR,SIE,ferngesehen,haben,Komposita.kein,TYPS
treiben,ˈtʁaɪ̯bn̩,False,Not,treibe,treibst,treibt,treiben,treibt,treiben,ICH,DU,ERSIEES,WIR,IHR,SIE,tr[ie]b,tr[ie]bst,tr[ie]b,tr[ie]ben,tr[ie]bt,tr[ie]ben,ICH,DU,ERSIEES,WIR,IHR,SIE,getr[ie]ben,sein/haben,de,transitiv:intransitiv
feiern,ˈfaɪ̯ɐn,True,Not,feier/feiere/feire,feierst,feiert,feiern,feiert,feiern,feierte,ICH,DU,ERSIEES,WIR,IHR,SIE,feiertest,feierte,feierten,feiertet,feierten,ICH,DU,ERSIEES,WIR,IHR,SIE,gefeiert,haben,de,transitiv:intransitiv
stellen,ˈʃtɛlən,True,Not,stelle,stellst,stellt,stellen,stellt,stellen,ICH,DU,ERSIEES,WIR,IHR,SIE,stellte,stelltest,stellte,stellten,stelltet,stellten,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,de,TYPS
vorstellen,ˈfoːɐ̯ˌʃtɛlən,True,True,stelle vor,stellst vor,stellt vor,stellen vor,stellt vor,stellen vor,ICH,DU,ERSIEES,WIR,IHR,SIE,stellte vor,stelltest vor,stellte vor,stellten vor,stelltet vor,stellten vor,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,Ableitung.vor-,TYPS
dringen,ˈdʁɪŋən,False,Not,dringe,dringst,dringt,dringen,dringt,dringen,ICH,DU,ERSIEES,WIR,IHR,SIE,dr[a]ng,dr[a]ngst,dr[a]ng,dr[a]ngen,dr[a]ngt,dr[a]ngen,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,de,TYPS
wiederholen,ˌviːdɐˈhoːlən,True,True,hole wieder,holst wieder,holt wieder,holen wieder,holt wieder,holen wieder,ICH,DU,ERSIEES,WIR,IHR,SIE,holte wieder,holtest wieder,holte wieder,holten wieder,holtet wieder,holten wieder,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,*,TYPS
fortschreiten,ˈfɔʁtˌʃʁaɪ̯tn̩,False,True,schreite fort,schreitest fort,schreitet fort,schreiten fort,schreitet fort,schreiten fort,ICH,DU,ERSIEES,WIR,IHR,SIE,schr[itt] fort,schr[itt]est fort,schr[itt] fort,schr[itt]en fort,schr[itt]et fort,schr[itt]en fort,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,Ableitung.fort-,TYPS
schreiten,ˈʃʁaɪ̯tn̩,False,Not,schreite,schreitest,schreitet,schreiten,schreitet,schreiten,ICH,DU,ERSIEES,WIR,IHR,SIE,schr[itt],schr[itt]est,schr[itt],schr[itt]en,schr[itt]et,schr[itt]en,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,de,TYPS
öffnen,ˈœfnən,True,Not,öffne,öffnest,öffnet,öffnen,öffnet,öffnen,ICH,DU,ERSIEES,WIR,IHR,SIE,öffnete,öffnetest,öffnete,öffneten,öffnetet,öffneten,ICH,DU,ERSIEES,WIR,IHR,SIE,geöffnet,haben,*,TYPS
braten,ˈbʁaːtn̩,False,Not,brate,br[ä]tst,br[ä]t,braten,bratet,braten,ICH,DU,ERSIEES,WIR,IHR,SIE,br[ie]t,br[ie]test,br[ie]t,br[ie]ten,br[ie]tet,br[ie]ten,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,de,TYPS
backen,ˈbakn̩,True,Not,backe,backst,backt,backen,backt,backen,ICH,DU,ERSIEES,WIR,IHR,SIE,backte,backtest,backte,backten,backtet,backten,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,de,TYPS
schmecken,ˈʃmɛkn̩,True,Not,schmecke,schmeckst,schmeckt,schmecken,schmeckt,schmecken,ICH,DU,ERSIEES,WIR,IHR,SIE,schmeckte,schmecktest,schmeckte,schmeckten,schmecktet,schmeckten,ICH,DU,ERSIEES,WIR,IHR,SIE,geschmeckt,haben,de,TYPS
rechnen,ˈʁɛçnən,True,Not,rechne,rechnest,rechnet,rechnen,rechnet,rechnen,rechne,rechnest,rechne,rechnen,rechnet,rechnen,rechnete,rechnetest,rechnete,rechneten,rechnetet,rechneten,rechnete,rechnetest,rechnete,rechneten,rechnetet,rechneten,PERFEKT,HILFSVERB,de,TYPS
deuten,ˈdɔɪ̯tn̩,True,Not,deute,deutest,deutet,deuten,deutet,deuten,,,,,,,,,,,,,,,,,,,PERFEKT,HILFSVERB,de,TYPS
holen,ˈhoːlən,True,Not,hole,holst,holt,holen,holt,holen,,,,,,,,,,,,,,,,,,,PERFEKT,HILFSVERB,de,TYPS
anbieten,ˈanˌbiːtn̩,False,True,biete an,bietest an,bietet an,bieten an,bietet an,bieten an,,,,,,,,,,,,,,,,,,,PERFEKT,HILFSVERB,de,TYPS
mitkommen,ˈmɪtˌkɔmən,False,True,komme mit,kommst mit,kommt mit,kommen mit,kommt mit,kommen mit,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,Ableitung.mit-,TYPS
produzieren,pʁoduˈt͡siːʁən,True,Not,produziere,produzierst,produziert,produzieren,produziert,produzieren,,,,,,,,,,,,,,,,,,,PERFEKT,HILFSVERB,Lehnwort.la,TYPS
aussehen,ˈaʊ̯sˌz̥eːən,False,True,sehe aus,s[ie]hst aus,s[ie]ht aus,sehen aus,seht aus,sehen aus,ICH,DU,ERSIEES,WIR,IHR,SIE,s[a]h aus,s[a]hst aus,s[a]h aus,s[a]hen aus,s[a]ht aus,s[a]hen aus,ICH,DU,ERSIEES,WIR,IHR,SIE,ausgesehen,haben,Ableitung.aus---,TYPS
danken,ˈdaŋkn̩,True,Not,danke,dankst,dankt,danken,dankt,danken,,,,,,,,,,,,,,,,,,,PERFEKT,HILFSVERB,de,TYPS
fliegen,ˈfliːɡn̩,False,Not,fliege,fliegst,fliegt,fliegen,fliegt,fliegen,,,,,,,,,,,,,,,,,,,gefl[o]gen,sein/haben,de,TYPS
schlafen,ˈʃlaːfn̩,False,Not,schlafe,schl[ä]fst,schl[ä]ft,schlafen,schlaft,schlaft,ICH,DU,ERSIEES,WIR,IHR,SIE,ich,du,ersiees,wir,ihr,sieSie,ich,du,ersiees,wir,ihr,sieSie,geschlafen,haben,de,intransitiv:reflexiv
ausleihen,ˈaʊ̯sˌlaɪ̯ən,False,True,leihe aus,leihst aus,leiht aus,leihen aus,leiht aus,leihen aus,,,,,,,,,,,,,,,,,,,ausgel[ie]hen,haben,Ableitung.aus-,TYPS
leihen,ˈlaɪ̯ən,False,Not,leihe,leihst,leiht,leihen,leiht,leihen,,,,,,,,,,,,,,,,,,,gel[ie]hen,haben,*,TYPS
anmelden,ˈanˌmɛldn̩,True,True,melde an,meldest an,meldet an,melden an,meldet an,melden an,,,,,,,,,,,,,,,,,,,angemeldet,haben,Ableitung.an-,TYPS
melden,ˈmɛldn̩,True,Not,melde,meldest,meldet,melden,meldet,melden,,,,,,,,,,,,,,,,,,,gemeldet,haben,*,TYPS
hinweisen,ˈhɪnˌvaɪ̯zn̩,False,True,weise hin,weist hin,weist hin,weisen hin,weist hin,weisen hin,,,,,,,,,,,,,,,,,,,hingew[ie]sen,haben,Ableitung.hin-,TYPS
weisen,ˈvaɪ̯zn̩,False,Not,weise,weist,weist,weisen,weist,weisen,,,,,,,,,,,,,,,,,,,gew[ie]sen,haben,Ableitung.hin-,TYPS
verwalten,fɛɐ̯ˈvaltn̩,True,False,verwalte,verwaltest,verwaltet,verwalten,verwaltet,verwalten,,,,,,,,,,,,,,,,,,,verwaltet,haben,Ableitung.ver-,TYPS
walten,ˈvaltn̩,True,Not,walte,waltest,waltet,walten,waltet,walten,,,,,,,,,,,,,,,,,,,gewaltet,haben,de,TYPS
diskutieren,dɪskuˈtiːʁən,True,Not,diskutiere,diskutierst,diskutiert,diskutieren,diskutiert,diskutieren,,,,,,,,,,,,,,,,,,,diskutiert,haben,Lehnwort.la,TYPS
aufhören,ˈaʊ̯fˌhøːʁən,True,True,höre auf,hörst auf,hört auf,hören auf,hört auf,hören auf,,,,,,,,,,,,,,,,,,,aufgehört,haben,Ableitung.auf-,TYPS
bekommen,bəˈkɔmən,False,False,bekomme,bekommst,bekommt,bekommen,bekommt,bekommen,,,,,,,,,,,,,,,,,,,bekommen,sein/haben,Ableitung.be-,TYPS
abschließen,ˈapˌʃliːsn̩,False,True,schließe ab,schließt ab,schließt ab,schließen ab,schließt ab,schließen ab,,,,,,,,,,,,,,,,,,,abgeschl[o]ssen,haben,Ableitung.ab-,TYPS
dozieren,doˈt͡siːʁən,True,Not,doziere,dozierst,doziert,dozieren,doziert,dozieren,,,,,,,,,,,,,,,,,,,doziert,haben,Lehnwort.la,TYPS
vorkommen,ˈfoːɐ̯ˌkɔmən,False,Not,komme vor,kommst vor,kommt vor,kommen vor,kommt vor,kommen vor,,,,,,,,,,,,,,,,,,,vorgekommen,sein,Ableitung.vor-,TYPS
kopieren,koˈpiːʁən,True,Not,kopiere,kopierst,kopiert,kopieren,kopiert,kopieren,,,,,,,,,,,,,,,,,,,kopiert,haben,Lehnwort.la,TYPS
nutzen,ˈnʊt͡sn̩,True,Not,nutze,nutzt,nutzt,nutzen,nutzt,nutzen,,,,,,,,,,,,,,,,,,,genutzt,haben,de,TYPS
tanken,ˈtaŋkn̩,True,Not,tanke,tankst,tankt,tanken,tankt,tanken,,,,,,,,,,,,,,,,,,,getankt,haben,Ableitung.Konversion,TYPS
abfliegen,ˈapˌfliːɡn̩,False,True,fliege ab,fliegst ab,fliegt ab,fliegen ab,fliegt ab,fliegen ab,,,,,,,,,,,,,,,,,,,abgefl[o]gen,sein/haben,Ableitung.ab-,TYPS
abfahren,ˈapˌfaːʁən,False,True,fahre ab,fährst ab,fährt ab,fahren ab,fahrt ab,fahren ab,,,,,,,,,,,,,,,,,,,abgefahren,sein/haben,Ableitung.ab-,TYPS
einchecken,ˈaɪ̯nˌt͡ʃɛkn̩,True,True,checke ein,checkst ein,checkt ein,checken ein,checkt ein,checken ein,,,,,,,,,,,,,,,,,,,eingecheckt,haben,Ableitung.ein-,TYPS
einsteigen,ˈaɪ̯nˌʃtaɪ̯ɡn̩,False,True,steige ein,steigst ein,steigt ein,steigen ein,steigt ein,steigen ein,,,,,,,,,,,,,,,,,,,eingestiegen,sein,Ableitung.ein-,TYPS
steigen,ˈʃtaɪ̯ɡn̩,False,Not,steige,steigst,steigt,steigen,steigt,steigen,,,,,,,,,,,,,,,,,,,gestiegen,sein,de,TYPS
ankommen,ˈanˌkɔmən,False,True,komme an,kommst an,kommt an,kommen an,kommt an,kommen an,,,,,,,,,,,,,,,,,,,angekommen,sein,Ableitung.an-,TYPS
verspäten,fɛɐ̯ˈʃpɛːtn̩,True,False,verspäte,verspätest,verspätet,verspäten,verspätet,verspäten,,,,,,,,,,,,,,,,,,,verspätet,haben,Ableitung.Konversion,TYPS
anschließen,ˈanˌʃliːsn̩,False,True,schließe an,schließt an,schließt an,schließen an,schließt an,schließen an,,,,,,,,,,,,,,,,,,,angeschl[o]ssen,haben,Ableitung.an-,TYPS
weiterfahren,ˈvaɪ̯tɐˌfaːʁən,False,True,fahre weiter,f[ä]hrst weiter,f[ä]hrt weiter,fahren weiter,fahrt weiter,fahren weiter,,,,,,,,,,,,,,,,,,,weitergefahren,sein,Ableitung.weiter-,TYPS
aussteigen,ˈaʊ̯sˌʃtaɪ̯ɡn̩,False,True,steige aus,steigst aus,steigt aus,steigen aus,steigt aus,steigen aus,,,,,,,,,,,,,,,,,,,ausgest[ie]gen,sein,Ableitung.aus-,TYPS
verbringen,fɛɐ̯ˈbʁɪŋən,False,False,verbringe,verbringst,verbringt,verbringen,verbringt,verbringen,,,,,,,,,,,,,,,,,,,verbr[ach]t,haben,Ableitung.ver,transitiv
schneien,ˈʃnaɪ̯ən,True,Not,schneie,schneist,schneit,schneien,schneit,schneien,,,,,,,,,,,,,,,,,,,geschneit,sein/haben,de,TYPS
tun,tuːn,False,Not,t[ue]/t[u],tust,tut,tun,tut,tun,,,,,,,,,,,,,,,,,,,get[a]n,haben,de,TYPS
baden,ˈbaːdn̩,True,Not,bade,badest,badet,baden,badet,baden,,,,,,,,,,,,,,,,,,,gebadet,haben,de,TYPS
klinge,ˈklɪŋən,False,Not,klinge,klingst,klingt,klingen,klingt,klingen,,,,,,,,,,,,,,,,,,,gekl[u]ngen,haben,de,TYPS
wollen,ˈvɔlən,False,Not,w[i]ll,w[i]llst,w[i]ll,wollen,wollt,wollen,,,,,,,wollte,wolltest,wollte,wollten,wolltet,wollten,,,,,,,gewollt/wollen,haben,de,Modalverb:transitiv
verwenden,fɛɐ̯ˈvɛndn̩,True,False,verwende,verwendest,verwendet,verwenden,verwendet,verwenden,,,,,,,,,,,,,,,,,,,verwendet/verw[a]ndt,haben,*,TYPS
üben,ˈyːbn̩,True,Not,übe,übst,übt,üben,übt,üben,,,,,,,,,,,,,,,,,,,geübt,haben,de,TYPS
kleiden,ˈklaɪ̯dn̩,True,Not,kleide,kleidest,kleidet,kleiden,kleidet,kleiden,,,,,,,,,,,,,,,,,,,gekleidet,haben,*,TYPS
einpacken,ˈaɪ̯nˌpakn̩,True,True,packe ein,packst ein,packt ein,packen ein,packt ein,packen ein,,,,,,,,,,,,,,,,,,,eingepackt,haben,Ableitung.ein-,TYPS
packen,ˈpakn̩,True,Not,packe,packst,packt,packen,packt,packen,,,,,,,,,,,,,,,,,,,gepackt,haben,*,TYPS
mitnehmen,ˈmɪtˌneːmən,False,True,nehme mit,n[imm]st mit,n[imm]t mit,nehmen mit,nehmt mit,nehmen mit,ICH,DU,ERSIEES,WIR,IHR,SIE,n[a]hm,n[a]hmst,n[a]hm,n[a]hmen,n[a]hmt,n[a]hmen,ICH,DU,ERSIEES,WIR,IHR,SIE,haben,mitgen[om]men,de,TYPS
tragen,ˈtʁaːɡn̩,False,Not,trage,tr[ä]gst,tr[ä]gt,tragen,tragt,tragen,,,,,,,,,,,,,,,,,,,getragen,haben,de,TYPS
meinen,ˈmaɪ̯nən,True,Not,mein/meine,meinst,meint,meinen,meint,meinen,,,,,,,,,,,,,,,,,,,gemeint,haben,de,TYPS
